model,left_condition,right_condition,n,left_accuracy_pct,right_accuracy_pct,delta_pp,ci_low_pp,ci_high_pp,left_only_correct,right_only_correct,mcnemar_exact_p,answer_agreement_pct
rl,control_noise_1_left,distractor_1_seed1_left,300,35.0,34.66666666666667,-0.33333333333333337,-6.333333333333334,5.333333333333334,40,39,1.0,42.0
rl,clean,distractor_1_seed2_left,300,33.0,32.33333333333333,-0.6666666666666667,-6.666666666666667,5.0,41,39,0.9110721212260928,38.666666666666664
rl,control_blank_1_left,distractor_1_seed2_left,300,36.0,32.33333333333333,-3.6666666666666665,-9.333333333333334,2.3333333333333335,46,35,0.26641230967132035,40.666666666666664
rl,control_noise_1_left,distractor_1_seed2_left,300,35.0,32.33333333333333,-2.666666666666667,-8.333333333333332,3.0,42,34,0.4221911049923154,42.66666666666667
rl,control_target_rescaled,control_blank_1_right,300,35.66666666666667,36.666666666666664,1.0,-4.666666666666667,6.666666666666667,35,38,0.8151212352249975,42.66666666666667
rl,control_target_rescaled,control_noise_1_right,300,35.66666666666667,33.33333333333333,-2.3333333333333335,-8.333333333333332,3.6666666666666665,44,37,0.5052364407669359,40.666666666666664
rl,control_blank_1_right,control_noise_1_right,300,36.666666666666664,33.33333333333333,-3.3333333333333335,-8.666666666666668,2.0,38,28,0.267811664846587,45.0
rl,clean,distractor_1_seed0_right,300,33.0,35.0,2.0,-4.0,8.0,40,46,0.5900356111485574,40.666666666666664
rl,control_blank_1_right,distractor_1_seed0_right,300,36.666666666666664,35.0,-1.6666666666666667,-7.666666666666666,4.333333333333334,43,38,0.6569924675863579,45.0
rl,control_noise_1_right,distractor_1_seed0_right,300,33.33333333333333,35.0,1.6666666666666667,-4.333333333333334,7.666666666666666,40,45,0.6646454904132143,42.66666666666667
rl,clean,distractor_1_seed1_right,300,33.0,38.0,5.0,-1.0,10.666666666666668,33,48,0.11927366831176445,43.0
rl,control_blank_1_right,distractor_1_seed1_right,300,36.666666666666664,38.0,1.3333333333333335,-4.0,6.666666666666667,31,35,0.7122308826373508,46.33333333333333
rl,control_noise_1_right,distractor_1_seed1_right,300,33.33333333333333,38.0,4.666666666666667,-1.0,10.333333333333334,31,45,0.1353851052994308,46.33333333333333
rl,clean,distractor_1_seed2_right,300,33.0,36.333333333333336,3.3333333333333335,-2.666666666666667,9.333333333333334,35,45,0.31430657986393706,39.33333333333333
rl,control_blank_1_right,distractor_1_seed2_right,300,36.666666666666664,36.333333333333336,-0.33333333333333337,-6.0,5.333333333333334,38,37,1.0,45.0
rl,control_noise_1_right,distractor_1_seed2_right,300,33.33333333333333,36.333333333333336,3.0,-3.3333333333333335,9.0,39,48,0.3911909653007528,41.333333333333336
rl,control_blank_1_left,control_blank_1_right,300,36.0,36.666666666666664,0.6666666666666667,-4.666666666666667,6.0,34,36,0.9049745264594623,45.0
rl,control_noise_1_left,control_noise_1_right,300,35.0,33.33333333333333,-1.6666666666666667,-7.000000000000001,3.6666666666666665,37,32,0.630456491786798,44.0
rl,distractor_1_seed0_left,distractor_1_seed0_right,300,33.33333333333333,35.0,1.6666666666666667,-4.333333333333334,7.333333333333333,38,43,0.6569924675863579,43.333333333333336
rl,distractor_1_seed1_left,distractor_1_seed1_right,300,34.66666666666667,38.0,3.3333333333333335,-2.3333333333333335,8.666666666666668,32,42,0.29541328065567013,42.66666666666667
rl,distractor_1_seed2_left,distractor_1_seed2_right,300,32.33333333333333,36.333333333333336,4.0,-2.0,9.666666666666666,35,47,0.22424452830608177,41.333333333333336
